symbols,link,data
ADSK,https://www.morningstar.com/stocks/xnas/ADSK/sustainability,
ADVWW,https://www.morningstar.com/stocks/xnas/ADVWW/sustainability,
AEAE,https://www.morningstar.com/stocks/xnas/AEAE/sustainability,
AEIS,https://www.morningstar.com/stocks/xnas/AEIS/sustainability,
AEMD,https://www.morningstar.com/stocks/xnas/AEMD/sustainability,
AEP,https://www.morningstar.com/stocks/xnas/AEP/sustainability,"(['Carbon\nOwn Operations\nEmissions, Effluents & Waste\nOverall\nOccupational Health & Safety\nOverall'], 2, 'Incidents: Public Policy')"
AGBAW,https://www.morningstar.com/stocks/xnas/AGBAW/sustainability,
AGNC,https://www.morningstar.com/stocks/xnas/AGNC/sustainability,
AGNCO,https://www.morningstar.com/stocks/xnas/AGNCO/sustainability,
AGNCP,https://www.morningstar.com/stocks/xnas/AGNCP/sustainability,
AGRX,https://www.morningstar.com/stocks/xnas/AGRX/sustainability,
AHI,https://www.morningstar.com/stocks/xnas/AHI/sustainability,
AHPAW,https://www.morningstar.com/stocks/xnas/AHPAW/sustainability,
AHRNW,https://www.morningstar.com/stocks/xnas/AHRNW/sustainability,
AIH,https://www.morningstar.com/stocks/xnas/AIH/sustainability,
AIP,https://www.morningstar.com/stocks/xnas/AIP/sustainability,
AIRS,https://www.morningstar.com/stocks/xnas/AIRS/sustainability,
AIRT,https://www.morningstar.com/stocks/xnas/AIRT/sustainability,
AKAM,https://www.morningstar.com/stocks/xnas/AKAM/sustainability,"(['Human Capital\nOverall\nBusiness Ethics\nOverall\nData Privacy & Security\nOverall'], 4, 'Incidents: Business Ethics')"
AKBA,https://www.morningstar.com/stocks/xnas/AKBA/sustainability,"(['—\nOverall\n—\nOverall\n—\nOverall'], 3, 'Incidents: Business Ethics')"
AKIC,https://www.morningstar.com/stocks/xnas/AKIC/sustainability,
AKU,https://www.morningstar.com/stocks/xnas/AKU/sustainability,"(['—\nOverall\n—\nOverall\n—\nOverall'], 3, 'Incidents: Business Ethics')"
ALCO,https://www.morningstar.com/stocks/xnas/ALCO/sustainability,
ALDX,https://www.morningstar.com/stocks/xnas/ALDX/sustainability,
ALEC,https://www.morningstar.com/stocks/xnas/ALEC/sustainability,
ALGM,https://www.morningstar.com/stocks/xnas/ALGM/sustainability,
ALGN,https://www.morningstar.com/stocks/xnas/ALGN/sustainability,"(['Product Governance\nOverall\nBusiness Ethics\nOverall\nHuman Capital\nOverall'], 3, 'Incidents: Business Ethics, Governance, Customer')"
ALGT,https://www.morningstar.com/stocks/xnas/ALGT/sustainability,"(['—\nOverall\n—\nOverall\n—\nOverall'], 2, 'Incidents: Customer')"
ALJJ,https://www.morningstar.com/stocks/xnas/ALJJ/sustainability,
ALKS,https://www.morningstar.com/stocks/xnas/ALKS/sustainability,
ALNY,https://www.morningstar.com/stocks/xnas/ALNY/sustainability,
ALORW,https://www.morningstar.com/stocks/xnas/ALORW/sustainability,
ALPA,https://www.morningstar.com/stocks/xnas/ALPA/sustainability,
ALPP,https://www.morningstar.com/stocks/xnas/ALPP/sustainability,
ALTUW,https://www.morningstar.com/stocks/xnas/ALTUW/sustainability,
AMAL,https://www.morningstar.com/stocks/xnas/AMAL/sustainability,
AMAOU,https://www.morningstar.com/stocks/xnas/AMAOU/sustainability,
AMAT,https://www.morningstar.com/stocks/xnas/AMAT/sustainability,
AMCX,https://www.morningstar.com/stocks/xnas/AMCX/sustainability,
AMD,https://www.morningstar.com/stocks/xnas/AMD/sustainability,
AMGN,https://www.morningstar.com/stocks/xnas/AMGN/sustainability,
AMPH,https://www.morningstar.com/stocks/xnas/AMPH/sustainability,
AMTX,https://www.morningstar.com/stocks/xnas/AMTX/sustainability,
AMZN,https://www.morningstar.com/stocks/xnas/AMZN/sustainability,
ANGH,https://www.morningstar.com/stocks/xnas/ANGH/sustainability,
ANGHW,https://www.morningstar.com/stocks/xnas/ANGHW/sustainability,
ANPC,https://www.morningstar.com/stocks/xnas/ANPC/sustainability,
ANSS,https://www.morningstar.com/stocks/xnas/ANSS/sustainability,
ANTE,https://www.morningstar.com/stocks/xnas/ANTE/sustainability,
AOGO,https://www.morningstar.com/stocks/xnas/AOGO/sustainability,
APM,https://www.morningstar.com/stocks/xnas/APM/sustainability,
APMIW,https://www.morningstar.com/stocks/xnas/APMIW/sustainability,
APP,https://www.morningstar.com/stocks/xnas/APP/sustainability,
APPF,https://www.morningstar.com/stocks/xnas/APPF/sustainability,
APPH,https://www.morningstar.com/stocks/xnas/APPH/sustainability,
APXI,https://www.morningstar.com/stocks/xnas/APXI/sustainability,
ARCB,https://www.morningstar.com/stocks/xnas/ARCB/sustainability,
ARCKU,https://www.morningstar.com/stocks/xnas/ARCKU/sustainability,
AREBW,https://www.morningstar.com/stocks/xnas/AREBW/sustainability,
AREC,https://www.morningstar.com/stocks/xnas/AREC/sustainability,
ARTA,https://www.morningstar.com/stocks/xnas/ARTA/sustainability,
ARTAW,https://www.morningstar.com/stocks/xnas/ARTAW/sustainability,
ARTNA,https://www.morningstar.com/stocks/xnas/ARTNA/sustainability,
ARVN,https://www.morningstar.com/stocks/xnas/ARVN/sustainability,
ARWR,https://www.morningstar.com/stocks/xnas/ARWR/sustainability,
ASAX,https://www.morningstar.com/stocks/xnas/ASAX/sustainability,
ASML,https://www.morningstar.com/stocks/xnas/ASML/sustainability,
ASND,https://www.morningstar.com/stocks/xnas/ASND/sustainability,
ASPAW,https://www.morningstar.com/stocks/xnas/ASPAW/sustainability,
ASTL,https://www.morningstar.com/stocks/xnas/ASTL/sustainability,
ASTSW,https://www.morningstar.com/stocks/xnas/ASTSW/sustainability,
ASUR,https://www.morningstar.com/stocks/xnas/ASUR/sustainability,
ATAKU,https://www.morningstar.com/stocks/xnas/ATAKU/sustainability,
ATEX,https://www.morningstar.com/stocks/xnas/ATEX/sustainability,
ATHE,https://www.morningstar.com/stocks/xnas/ATHE/sustainability,
ATVI,https://www.morningstar.com/stocks/xnas/ATVI/sustainability,
AURC,https://www.morningstar.com/stocks/xnas/AURC/sustainability,
AUTO,https://www.morningstar.com/stocks/xnas/AUTO/sustainability,
AUUDW,https://www.morningstar.com/stocks/xnas/AUUDW/sustainability,
AVGO,https://www.morningstar.com/stocks/xnas/AVGO/sustainability,
AVHIW,https://www.morningstar.com/stocks/xnas/AVHIW/sustainability,
AVNW,https://www.morningstar.com/stocks/xnas/AVNW/sustainability,
AVXL,https://www.morningstar.com/stocks/xnas/AVXL/sustainability,
AXNX,https://www.morningstar.com/stocks/xnas/AXNX/sustainability,
AXSM,https://www.morningstar.com/stocks/xnas/AXSM/sustainability,
AYTU,https://www.morningstar.com/stocks/xnas/AYTU/sustainability,
AZN,https://www.morningstar.com/stocks/xnas/AZN/sustainability,
BANF,https://www.morningstar.com/stocks/xnas/BANF/sustainability,
BANFP,https://www.morningstar.com/stocks/xnas/BANFP/sustainability,
BATRA,https://www.morningstar.com/stocks/xnas/BATRA/sustainability,
BBQ,https://www.morningstar.com/stocks/xnas/BBQ/sustainability,
BCOR,https://www.morningstar.com/stocks/xnas/BCOR/sustainability,
BCSA,https://www.morningstar.com/stocks/xnas/BCSA/sustainability,
BEEMW,https://www.morningstar.com/stocks/xnas/BEEMW/sustainability,
BELFA,https://www.morningstar.com/stocks/xnas/BELFA/sustainability,
BENER,https://www.morningstar.com/stocks/xnas/BENER/sustainability,
BGNE,https://www.morningstar.com/stocks/xnas/BGNE/sustainability,
